Crop Name,Variety,Avg. Market Price (₹/Quintal),Cost per Hectare (₹),Growth Period,Market Demand,Water Requirement,Temperature Range Min (°C),Temperature Range Max (°C),Rainfall Range Min (mm),Rainfall Range Max (mm),pH Range,Drought Resistance,Notes
Ragi (Finger Millet),GPU-28,3273,22068,"90-120 days",High,Low,20,32,600,800,"5.5-7.5",High,"Drought-resistant crop suitable for rainfed conditions"
Rice,IR-64,2220,40000,"120-150 days",Very High,High,20,35,1000,1400,"5.5-7.0",Low,"Puddling before transplanting, maintain water level"
Maize (Corn),NK-6240,2244,82575,"100-120 days",High,Medium,18,35,500,700,"6.0-7.5",Medium,"Deep ploughing, ridge and furrow method"
Jowar (Sorghum),M35-1,2404,35000,"100-120 days",High,Low,20,35,350,700,"6.0-8.0",High,"Drought tolerant, minimal water requirement"
Bajra (Pearl Millet),ICTP-8203,2201,30000,"90-100 days",Moderate,Low,25,42,300,500,"6.5-8.0",High,"Suitable for arid regions, pearl millet"
Wheat,HD-2189,2521,35076,"120-150 days",Moderate,Medium,10,25,350,550,"6.0-7.5",Medium,"Cool weather crop, irrigation required"
Sugarcane,Co-86032,350,82773,"10-12 months",Very High,High,20,35,1500,2100,"6.0-8.0",Low,"High water requirement, ratoon cropping"
Cotton,DS-28,7100,50000,"150-180 days",High,Medium,18,32,600,800,"5.8-8.0",Medium,"Deep black cotton soil preferred"
Groundnut (Peanut),TMV-2,5133,40000,"100-120 days",High,Medium,20,30,450,650,"6.0-7.0",Medium,"Calcium requirement high, pod formation critical"
Sunflower,KBSH-1,5393,35000,"90-100 days",Moderate,Medium,18,25,500,700,"6.0-7.5",Medium,"Photoperiod sensitive, oil seed crop"
Safflower,A-1,6975,30000,"120-150 days",Moderate,Low,15,25,250,450,"7.0-8.5",High,"Drought tolerant oilseed, winter crop"
Sesamum (Sesame),T-65,7125,25000,"90-100 days",Moderate,Medium,25,35,350,550,"5.5-8.0",Medium,"Short duration oilseed crop"
Castor,GAUCH-1,6046,30000,"150-180 days",Moderate,Medium,20,35,650,850,"6.5-7.5",High,"Industrial oilseed, drought tolerant"
Redgram (Pigeon Pea),ICP-7035,6998,25000,"150-180 days",High,Medium,20,35,550,750,"6.0-7.5",Medium,"Pulse crop, nitrogen fixing legume"
Bengalgram (Chickpea),JG-11,4600,30000,"100-120 days",High,Low,15,25,250,450,"6.5-7.5",High,"Cool season pulse, chickpea"
Blackgram (Urad),PU-31,6000,28000,"90-100 days",High,Low,25,35,300,500,"6.0-7.0",Medium,"Short duration pulse crop"
