
Crop Name,Variety,Suitable Soil Types,Suitable Seasons
Wheat,PBW 343,Loamy;Clayey,Rabi (Oct-Mar)
Wheat,HD 2967,Loamy;Sandy Loam,Rabi (Nov-Apr)
Wheat,WH 147,Clayey;Loamy,Rabi (Oct-Mar)
Wheat,DBW 88,Sandy Loam;Loamy,Rabi (Nov-Mar)
Rice,IR 64,Alluvial;Clayey;Loamy,Kharif (Jun-Oct)
Rice,Basmati 370,Loamy;Sandy Loam,Kharif (Jun-Nov)
Rice,Swarna,Clayey;Alluvial,Kharif (Jul-Dec)
Rice,MTU 7029,Clayey;Loamy,Kharif (Jun-Oct)
Rice,PR 106,Sandy Loam;Loamy,Kharif (Jun-Nov)
Maize,Ganga 5,Loamy;Sandy Loam,Kharif;Rabi
Maize,DHM 117,Sandy Loam;Alluvial,Kharif (Jun-Oct)
Maize,Shaktiman 1,Loamy;Clayey,Rabi (Nov-Mar)
Maize,Ganga 11,Sandy Loam;Loamy,Kharif;Summer (Zaid)
Cotton,MCU 5,Black;Clayey,Kharif
Cotton,Bt Cotton,Black;Clayey;Sandy Loam,Kharif (Apr-Oct)
Cotton,Suraj,Black;Red,Kharif (May-Nov)
Cotton,Bunny Hybrid,Black;Clayey,Kharif (Apr-Sep)
Sugarcane,Co 86032,Loamy;Clayey;Alluvial,Year-round
Sugarcane,Co 238,Clayey;Loamy,Year-round
Sugarcane,Co 0238,Sandy Loam;Loamy,Year-round
Sugarcane,Co 62175,Alluvial;Clayey,Year-round
Soybean,JS 335,Black;Clayey;Sandy Loam,Kharif (Jun-Oct)
Soybean,MACS 450,Black;Red;Loamy,Kharif (Jul-Nov)
Soybean,PK 472,Sandy Loam;Loamy,Kharif (Jun-Sep)
Groundnut,TMV 2,Sandy Loam;Red;Loamy,Kharif;Summer (Zaid)
Groundnut,JL 24,Sandy;Sandy Loam,Kharif (Jun-Oct)
Groundnut,GG 20,Red;Sandy Loam,Summer (Zaid) (Mar-Jun)
Mustard,Pusa Bold,Loamy;Sandy Loam,Rabi (Oct-Mar)
Mustard,RH 30,Sandy Loam;Clayey,Rabi (Nov-Apr)
