scheme_name,implementing_agency,eligibility_criteria,benefits,application_process,documents_required,district_availability,crop_applicability,official_website,detailed_description,how_to_apply
PM-KISAN,Central Government,"Small and marginal farmers owning cultivable land up to 2 hectares,Land ownership mandatory,Valid Aadhaar required","₹6000 per year in 3 installments of ₹2000,Direct bank transfer,No intermediary required,19 installments completed as of 2025","Online application through PM-KISAN portal,Village officer verification,Common Service Center (CSC) assistance available","Aadhaar card,Land ownership documents,Bank account details,Mobile number for OTP verification","All Karnataka districts",All crops,"https://pmkisan.gov.in, https://raitamitra.karnataka.gov.in","Pradhan Mantri Kisan Samman Nidhi provides income support to all landholding farmers' families. The scheme ensures direct benefit transfer to farmers' bank accounts, reducing corruption and ensuring timely payments.","Visit pmkisan.gov.in → New Farmer Registration → Fill details → Upload documents → Submit for verification → Receive registration number → Track status online"
Krishi Bhagya,Karnataka Agriculture Department,"Dryland farmers in rainfed areas,Minimum 2.5 acres land required,Farm pond construction commitment,Water harvesting structure agreement","75% subsidy on farm pond construction up to ₹1.5 lakhs,Technical assistance for design and construction,Training on water management,Increased crop productivity support","Apply at District Agriculture office,Technical feasibility study,Committee approval required,Beneficiary contribution 25%","Land records (Pahani/Survey Settlement),Farm plan approved by engineer,Bank account details,GPS coordinates of proposed site","Primarily rainfed districts - Tumakuru, Chikkaballapur, Kolar, Chitradurga, Bellary","All dryland crops,Horticulture crops,Fodder crops","https://raitamitra.karnataka.gov.in, District Agriculture Office","Aims to enhance farm productivity in rainfed areas through farm pond construction and water harvesting structures. Promotes sustainable agriculture practices and water conservation at farm level.","Contact District Agriculture Officer → Submit application with farm plan → Technical survey → Committee approval → Work execution → Subsidy release after completion verification"
Bhoochetana,Karnataka Agriculture Department,"All categories of farmers,Soil health improvement focus,Willingness to adopt recommended practices,Micronutrient deficiency areas priority","Free soil testing for macro and micronutrients,Subsidized micronutrient supply,Technical guidance on balanced fertilization,Soil health card issuance","Apply at Agriculture Extension Office,Soil sample collection by trained staff,Laboratory analysis,Recommendations provided","Land records,Soil health card if available,Aadhaar card,Contact details for follow-up","All Karnataka districts with special focus on micronutrient deficient areas",All field crops and horticultural crops,"https://agriculture.karnataka.gov.in, Taluk Agriculture Office","Comprehensive soil health management program aimed at improving crop productivity through balanced fertilization. Addresses widespread micronutrient deficiencies in Karnataka soils affecting crop yield and quality.","Visit nearest Agriculture Extension Office → Submit soil samples → Receive soil test report → Purchase recommended micronutrients → Apply as per guidelines → Monitor crop response"
PM Fasal Bima Yojana,Central Government,"All farmers including tenant farmers,Cultivating notified crops,Sowing within specified dates,Bank account with KYC compliance","Premium subsidy up to 80% for small farmers,Comprehensive crop loss coverage,Weather-based insurance,Quick claim settlement process","Online application through insurance companies,Bank branch registration,CSC centers,Mobile app registration","Aadhaar card,Land records or tenancy agreement,Bank account details,Sowing certificate from VRO,Loan sanction letter if applicable","All Karnataka districts",Notified crops only - paddy, maize, cotton, sugarcane, groundnut, sunflower and other specified crops,"https://pmfby.gov.in, https://kisanemitra.gov.in","Provides financial protection to farmers against crop losses due to natural calamities, pests, and diseases. Ensures income stability and encourages adoption of innovative farming practices through risk mitigation.","Choose insurance company → Visit branch/online portal → Fill application form → Pay farmer's premium share → Receive policy document → Report losses within 72 hours → Claim assessment → Settlement"
Krishi Sinchai Yojana (PMKSY),Central Government,"Farmers with water source access,Micro irrigation adoption,Water conservation commitment,Minimum land holding criteria","50-75% subsidy on drip/sprinkler irrigation,Technical support for system design,Water use efficiency training,Maintenance support for 5 years","Application through Horticulture/Agriculture department,Technical approval required,Vendor selection from approved list,Installation supervision","Land records,Water source certificate,Soil test report,Bank account details,Quotation from approved vendors","All Karnataka districts with water stress priority","Horticultural crops,Cash crops,Vegetables,Spices,Plantation crops","https://pmksy.gov.in, District Horticulture Office","Per Drop More Crop component focuses on enhancing water use efficiency through micro irrigation. Promotes precision farming and sustainable water management practices for higher crop productivity.","Apply at District Horticulture Office → Technical feasibility study → Vendor quotation → Approval → Installation → Inspection → Subsidy release → Annual maintenance contract"
Suvarna Bhoomi,Karnataka Agriculture Department,"Tenant farmers without land ownership,Sharecroppers with valid agreements,Below poverty line farmers,Women farmers priority","Input assistance up to ₹5000 per acre,Crop insurance coverage,Credit linkage facilitation,Technical support and training","Apply at Taluk Agriculture Office,Document verification by officials,Committee screening,Beneficiary selection","Valid tenancy agreement/crop sharing document,Aadhaar card,Bank account details,BPL card if applicable,Passport size photographs","All Karnataka districts",All crops including cereals and cash crops,"Taluk Agriculture Office, https://raitamitra.karnataka.gov.in","Comprehensive support scheme for landless farmers providing input assistance, insurance coverage, and credit support. Aims to bring tenant farmers into formal agricultural support system.","Visit Taluk Agriculture Office → Submit application with tenancy proof → Verification by officials → Committee approval → Receive input assistance → Insurance enrollment → Credit facilitation"
National Horticulture Mission,Central Government,"Horticulture farmers,Entrepreneurs in horticulture value chain,Technology adoption willingness,Project-based implementation","40-50% subsidy on planting material,Infrastructure development support,Post-harvest management facilities,Market linkage assistance","Apply through District Horticulture Office,Project proposal submission,Technical committee approval,Implementation monitoring","Land records,Project proposal with cost estimation,Bank account details,Training certificates if any","All Karnataka districts","Fruits,Vegetables,Spices,Flowers,Medicinal plants,Plantation crops","https://nhm.nic.in, District Horticulture Office","Holistic development of horticulture sector through technology promotion, infrastructure development, and market linkage. Supports entire value chain from production to marketing.","Prepare project proposal → Submit at District Horticulture Office → Technical committee evaluation → Approval and fund release → Implementation → Progress monitoring → Final evaluation"
Rashtriya Krishi Vikas Yojana,Central Government,"State government implemented schemes,Agricultural development projects,Innovation and technology focus,Farmer participation essential","Flexible funding for innovative projects,Technology promotion support,Infrastructure development,Capacity building programs","State government project formulation,Central approval process,Implementation through line departments,Regular monitoring required","Project proposal with detailed plan,Cost-benefit analysis,Implementation timeline,Beneficiary identification","All Karnataka districts",All agricultural activities including allied sectors,"State Agriculture Department, Ministry of Agriculture and Farmers Welfare","Provides flexibility to states for planning and executing agriculture development schemes. Focuses on innovation, technology adoption, and infrastructure development in agriculture sector.","State prepares annual action plan → Central approval → Fund allocation → Implementation through departments → Regular monitoring → Impact assessment → Annual reporting"
Karnataka Organic Farming Mission,Karnataka Agriculture Department,"Farmers adopting organic practices,Certification seekers,Chemical-free farming commitment,Group formation for certification","Organic certification support,Premium marketing facilities,Input subsidy for organic inputs,Training and technical support","Apply at District Organic Farming Office,Group formation assistance,Certification process guidance,Market linkage support","Land records,Organic farming plan,Water analysis report,Group formation documents,Training participation certificate","All Karnataka districts","Certified organic crops,Spices,Fruits,Vegetables,Cereals","District Organic Farming Office, https://agriculture.karnataka.gov.in","Promotes sustainable agriculture through organic farming practices. Provides certification support, premium marketing, and technical guidance for chemical-free farming methods.","Contact District Organic Farming Office → Join farmer group → Prepare organic farming plan → Water and soil testing → Certification process → Organic input supply → Market linkage"
Micro Irrigation Scheme (State),Karnataka Agriculture Department,"Farmers in water-scarce areas,Precision farming adoption,High-value crop cultivation,Water conservation commitment","50-90% subsidy based on farmer category,Technical support for installation,Training on operation and maintenance,Water scheduling guidance","Apply at Minor Irrigation Office,Technical survey and approval,Vendor empanelment process,Quality check during installation","Land records,Water availability certificate,Soil analysis report,Bank account details,Survey settlement copy","Water-scarce districts priority - Chitradurga, Tumakuru, Kolar, Chikkaballapur","High-value crops,Vegetables,Fruits,Spices,Flower cultivation","Minor Irrigation Office, https://raitamitra.karnataka.gov.in","State-specific micro irrigation scheme complementing central PMKSY. Focuses on water-stressed areas with higher subsidy rates for small and marginal farmers.","Apply at Minor Irrigation Office → Site survey → Technical approval → Vendor selection → Installation → Quality check → Training → Subsidy release → Maintenance support"
