crop_name,irrigation_type,water_quantity_mm,frequency_days,critical_growth_stages,season,total_water_requirement_mm,remarks
Ragi,Drip,"5-10","7-10","Germination,Tillering,Flowering",Kharif,"400-500","Light irrigation in black soils, 3-4 irrigations sufficient"
Ragi,Sprinkler,"15-20","10-12","Germination,Tillering,Flowering",Kharif,"450-550","Good for hill zones, avoid waterlogging"
Ragi,Flood,"25-30","12-15","Germination,Tillering,Flowering",Kharif,"500-600","Traditional method in Malnad region"
Rice,Flood,"50-80","3-5","Transplanting,Tillering,Flowering,Grain filling",Kharif,"1200-1500","Continuous standing water 2-5cm depth"
Rice,SRI,"20-30","7-10","Transplanting,Tillering,Panicle initiation,Flowering",Kharif,"800-1000","Alternate wetting and drying method"
Rice,Drip,"10-15","5-7","Transplanting,Tillering,Flowering,Grain filling",Rabi,"700-900","Water saving method for aerobic rice"
Maize,Drip,"8-12","7-10","Germination,V6 stage,Tasseling,Grain filling",Kharif,"500-700","Critical at tasseling and grain filling"
Maize,Sprinkler,"20-25","10-12","Germination,V6 stage,Tasseling,Grain filling",Rabi,"450-600","Good for winter maize in North Karnataka"
Maize,Flood,"30-40","12-15","Germination,V6 stage,Tasseling,Grain filling",Kharif,"600-800","Traditional method, avoid waterlogging"
Jowar,Drip,"6-10","10-15","Germination,Tillering,Heading,Grain filling",Kharif,"350-450","Drought tolerant, minimal irrigation"
Jowar,Sprinkler,"15-20","12-15","Germination,Tillering,Heading,Grain filling",Rabi,"400-500","Winter jowar needs more water"
Jowar,Flood,"30-40","15-20","Germination,Tillering,Heading,Grain filling",Kharif,"450-550","Avoid excess water, root rot prone"
Bajra,Drip,"5-8","12-15","Germination,Tillering,Heading,Grain filling",Kharif,"250-350","Highly drought tolerant crop"
Bajra,Sprinkler,"12-18","15-20","Germination,Tillering,Heading,Grain filling",Summer,"300-400","Summer cultivation needs regular irrigation"
Wheat,Drip,"10-15","7-10","Germination,Tillering,Jointing,Flowering,Grain filling",Rabi,"400-500","Critical at jointing and flowering"
Wheat,Sprinkler,"20-30","10-12","Germination,Tillering,Jointing,Flowering,Grain filling",Rabi,"450-550","Good for North Karnataka conditions"
Wheat,Flood,"40-50","12-15","Germination,Tillering,Jointing,Flowering,Grain filling",Rabi,"500-600","Traditional basin method"
Sugarcane,Drip,"15-25","5-7","Germination,Tillering,Grand growth,Maturity",Annual,"1500-2000","Most efficient method, fertigation possible"
Sugarcane,Sprinkler,"40-60","7-10","Germination,Tillering,Grand growth,Maturity",Annual,"1800-2200","Good coverage, suitable for windy areas"
Sugarcane,Flood,"80-120","10-15","Germination,Tillering,Grand growth,Maturity",Annual,"2000-2500","Traditional furrow method"
Cotton,Drip,"8-15","7-10","Germination,Squaring,Flowering,Boll development",Kharif,"600-800","Critical during flowering and boll development"
Cotton,Sprinkler,"20-30","10-12","Germination,Squaring,Flowering,Boll development",Kharif,"700-900","Good for uniform coverage"
Cotton,Flood,"40-60","12-15","Germination,Squaring,Flowering,Boll development",Kharif,"800-1000","Traditional method in black soils"
Groundnut,Drip,"6-10","10-12","Germination,Flowering,Pegging,Pod development",Kharif,"400-500","Critical during flowering and pod filling"
Groundnut,Sprinkler,"15-20","12-15","Germination,Flowering,Pegging,Pod development",Kharif,"450-550","Good for sandy soils"
Groundnut,Flood,"25-35","15-18","Germination,Flowering,Pegging,Pod development",Kharif,"500-600","Avoid waterlogging during pod development"
Sunflower,Drip,"8-12","7-10","Germination,Bud formation,Flowering,Seed filling",Kharif,"400-500","Critical at flowering and seed filling"
Sunflower,Sprinkler,"18-25","10-12","Germination,Bud formation,Flowering,Seed filling",Rabi,"450-550","Winter sunflower needs regular irrigation"
Sunflower,Flood,"30-40","12-15","Germination,Bud formation,Flowering,Seed filling",Kharif,"500-600","Traditional method"
