loan_name,provider,loan_type,interest_rate,maximum_amount,repayment_period,eligibility_criteria,collateral_required,documents_needed,benefits
Kisan Credit Card,All Banks,"Short-term,Crop loan",7.0,500000,"12 months","Land ownership,Good credit history",No,"Land records,ID proof,Bank account","Flexible credit limit,Multi-purpose use,Interest subsidy available,Effective rate 4% for prompt repayment"
Agriculture Term Loan,SBI,"Long-term,Farm development",9.0,1000000,"3-7 years","Land ownership,Project viability",Yes,"Land documents,Project report,Income proof","Long repayment period,Large loan amount,Farm development support"
Crop Loan,HDFC Bank,"Short-term,Seasonal farming",8.5,500000,"6-12 months","Land ownership,Farming experience",No,"Land records,Aadhaar,PAN card,Bank statements","Seasonal financing,Quick processing,No collateral required"
Dairy Development Loan,NABARD,"Medium-term,Livestock",8.5,2000000,"5-8 years","Dairy farming experience,Technical feasibility",Yes,"Project report,Land documents,Veterinary certificate","High loan amount,Technical support,Livestock development"
Horticulture Development Loan,Canara Bank,"Long-term,Plantation",8.75,1500000,"7-12 years","Land suitability,Technical knowledge",Yes,"Soil test report,Project proposal,Land documents","Long-term plantation support,Technical guidance,Market linkage"
Warehouse Receipt Loan,ICICI Bank,"Short-term,Commodity financing",9.5,1000000,"3-6 months","Warehouse receipt,Quality certificate",Yes,"Warehouse receipt,Quality certificate,Insurance policy","Commodity financing,Quick liquidity,Price realization"
Self Help Group Loan,Karnataka State Cooperative Bank,"Micro credit,Group lending",10.5,100000,"1-3 years","SHG membership,Group guarantee",No,"SHG records,Group resolution,Aadhaar","Group guarantee,Women empowerment,Micro credit access"
Tractor Loan,Mahindra Finance,"Asset financing,Mechanization",11.0,1200000,"5-7 years","Land ownership,Age 21-65 years",Yes,"Land documents,Income proof,Tractor invoice","Farm mechanization,Asset creation,Productivity increase"
Fisheries Development Loan,State Bank of India,"Medium-term,Aquaculture",9.25,800000,"5-7 years","Water body ownership,Technical training",Yes,"Water rights,Project report,Training certificate","Aquaculture development,Technical training,Income diversification"
Gold Loan for Agriculture,Muthoot Finance,"Short-term,Emergency credit",12.5,2000000,"6-24 months","Gold ornaments,Age above 18",Yes,"Gold ornaments,ID proof,Address proof","Quick approval,Emergency credit,High loan amount"
Organic Farming Loan,Punjab National Bank,"Medium-term,Sustainable agriculture",8.5,750000,"3-5 years","Organic certification,Land ownership",No,"Organic certificate,Land records,Farming plan","Sustainable farming,Premium price realization,No collateral"
Poultry Development Loan,Union Bank of India,"Medium-term,Livestock",9.75,1000000,"5-6 years","Poultry farming experience,Shed construction",Yes,"Project report,Land documents,Technical approval","Poultry development,Regular income,Technical support"
Solar Pump Loan,Bank of Baroda,"Long-term,Renewable energy",9.0,500000,"7-10 years","Borewell ownership,Electricity connection",No,"Borewell certificate,Electricity bill,Quotation","Renewable energy,Electricity savings,Government subsidy"
Sericulture Development Loan,Karnataka Bank,"Medium-term,Silk production",9.25,600000,"4-6 years","Mulberry cultivation,Rearing experience",Yes,"Sericulture training,Land records,Rearing house plan","Silk production,Assured income,Technical support"
Spice Cultivation Loan,South Indian Bank,"Medium-term,Cash crops",9.5,800000,"3-6 years","Suitable agro-climate,Marketing tie-up",Yes,"Agro-climatic certificate,Buy-back agreement,Land documents","Cash crop cultivation,Assured marketing,Higher returns"
Mushroom Cultivation Loan,Indian Bank,"Short-term,Commercial farming",10.0,300000,"1-2 years","Technical training,Shed facility",No,"Training certificate,Shed details,Market linkage","Commercial farming,Quick returns,Market linkage"
Floriculture Loan,Axis Bank,"Medium-term,Commercial horticulture",9.75,1200000,"4-7 years","Greenhouse facility,Technical knowledge",Yes,"Greenhouse plan,Market agreement,Land documents","Commercial horticulture,High value crops,Export potential"
